2020-06-18 16:36:02.054  INFO 7616 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$2585b920] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-06-18 16:38:48.247  INFO 7616 --- [https-jsse-nio-443-exec-6] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-18 16:38:48.969  INFO 7616 --- [https-jsse-nio-443-exec-10] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /webjars/springfox-swagger-ui/fonts/open-sans-v15-latin-700.woff2
2020-06-18 16:38:48.970  INFO 7616 --- [https-jsse-nio-443-exec-10] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-18 16:38:48.980  INFO 7616 --- [https-jsse-nio-443-exec-4] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /webjars/springfox-swagger-ui/fonts/source-code-pro-v7-latin-300.woff2
2020-06-18 16:38:48.980  INFO 7616 --- [https-jsse-nio-443-exec-4] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-18 16:38:49.813  INFO 7616 --- [https-jsse-nio-443-exec-2] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /webjars/springfox-swagger-ui/fonts/titillium-web-v6-latin-regular.woff2
2020-06-18 16:38:49.815  INFO 7616 --- [https-jsse-nio-443-exec-2] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-18 16:38:50.623  INFO 7616 --- [https-jsse-nio-443-exec-7] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /ac-service/v2/api-docs
2020-06-18 16:38:50.624  INFO 7616 --- [https-jsse-nio-443-exec-7] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-18 16:38:52.040  INFO 7616 --- [https-jsse-nio-443-exec-9] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /micro-vehicles/v2/api-docs
2020-06-18 16:38:52.041  INFO 7616 --- [https-jsse-nio-443-exec-9] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-18 16:38:57.502  INFO 7616 --- [https-jsse-nio-443-exec-7] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /swagger-ui.html
2020-06-18 16:38:57.503  INFO 7616 --- [https-jsse-nio-443-exec-7] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-18 16:38:57.562  INFO 7616 --- [https-jsse-nio-443-exec-8] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /webjars/springfox-swagger-ui/springfox.css?v=2.8.0-SNAPSHOT
2020-06-18 16:38:57.562  INFO 7616 --- [https-jsse-nio-443-exec-8] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-18 16:38:57.642  INFO 7616 --- [https-jsse-nio-443-exec-5] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /webjars/springfox-swagger-ui/swagger-ui.css?v=2.8.0-SNAPSHOT
2020-06-18 16:38:57.642  INFO 7616 --- [https-jsse-nio-443-exec-5] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-18 16:38:58.094  INFO 7616 --- [https-jsse-nio-443-exec-6] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /swagger-resources/configuration/ui
2020-06-18 16:38:58.095  INFO 7616 --- [https-jsse-nio-443-exec-6] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-18 16:38:58.106  INFO 7616 --- [https-jsse-nio-443-exec-3] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /swagger-resources/configuration/security
2020-06-18 16:38:58.106  INFO 7616 --- [https-jsse-nio-443-exec-3] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-18 16:38:58.115  INFO 7616 --- [https-jsse-nio-443-exec-1] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /swagger-resources
2020-06-18 16:38:58.115  INFO 7616 --- [https-jsse-nio-443-exec-1] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-18 16:38:58.134  INFO 7616 --- [https-jsse-nio-443-exec-10] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /v2/api-docs
2020-06-18 16:38:58.134  INFO 7616 --- [https-jsse-nio-443-exec-10] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-18 16:39:00.840  INFO 7616 --- [https-jsse-nio-443-exec-4] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /micro-iot/v2/api-docs
2020-06-18 16:39:00.842  INFO 7616 --- [https-jsse-nio-443-exec-4] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-18 16:39:04.489  INFO 7616 --- [https-jsse-nio-443-exec-10] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /webjars/springfox-swagger-ui/fonts/source-code-pro-v7-latin-600.woff2
2020-06-18 16:39:04.489  INFO 7616 --- [https-jsse-nio-443-exec-10] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-18 16:39:23.915  INFO 7616 --- [https-jsse-nio-443-exec-1] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /ac-service/v2/api-docs
2020-06-18 16:39:23.916  INFO 7616 --- [https-jsse-nio-443-exec-1] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-18 16:39:26.135  INFO 7616 --- [https-jsse-nio-443-exec-10] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /micro-vehicles/v2/api-docs
2020-06-18 16:39:26.136  INFO 7616 --- [https-jsse-nio-443-exec-10] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-18 16:39:30.905  INFO 7616 --- [https-jsse-nio-443-exec-5] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /swagger-ui.html
2020-06-18 16:39:30.905  INFO 7616 --- [https-jsse-nio-443-exec-5] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-18 16:39:30.995  INFO 7616 --- [https-jsse-nio-443-exec-6] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /webjars/springfox-swagger-ui/springfox.css?v=2.8.0-SNAPSHOT
2020-06-18 16:39:30.996  INFO 7616 --- [https-jsse-nio-443-exec-6] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-18 16:39:31.036  INFO 7616 --- [https-jsse-nio-443-exec-4] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /webjars/springfox-swagger-ui/swagger-ui.css?v=2.8.0-SNAPSHOT
2020-06-18 16:39:31.036  INFO 7616 --- [https-jsse-nio-443-exec-4] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
